time,gFx,gFy,gFz,gFTotal
0.00410008430480957,-0.0308074951171875,-0.0108489990234375,-0.9301910400390625,0.931
0.01225900650024414,-0.03466796875,-0.0048980712890625,-0.932830810546875,0.933
0.028696060180664062,-0.0364990234375,-0.0272369384765625,-0.9638671875,0.965
0.03260493278503418,-0.0347137451171875,-0.0429840087890625,-1.0105438232421875,1.012
0.04278683662414551,-0.0337066650390625,-0.049285888671875,-1.0639495849609375,1.066
0.05161786079406738,-0.04412841796875,-0.0635528564453125,-1.0680084228515625,1.071
0.06279110908508301,-0.058441162109375,-0.0759429931640625,-1.0399627685546875,1.044
0.07268786430358887,-0.0565032958984375,-0.0719451904296875,-1.0070953369140625,1.011
0.08274483680725098,-0.0378875732421875,-0.047210693359375,-0.9866790771484375,0.989
0.09135890007019043,-0.0174713134765625,-0.024444580078125,-0.986541748046875,0.987
0.1018831729888916,-0.011474609375,-0.021759033203125,-0.9805908203125,0.981
0.11345410346984863,-0.0168609619140625,-0.02630615234375,-0.9755401611328125,0.976
0.12781596183776855,-0.03289794921875,-0.0235748291015625,-0.9886016845703125,0.989
0.13254094123840332,-0.04888916015625,-0.017730712890625,-1.0052947998046875,1.007
0.14214205741882324,-0.0523681640625,-0.014556884765625,-1.009613037109375,1.011
0.1525881290435791,-0.047119140625,-0.0169219970703125,-1.0070037841796875,1.008
0.1618211269378662,-0.0391845703125,-0.02362060546875,-1.01531982421875,1.016
0.17245888710021973,-0.0345611572265625,-0.0334625244140625,-1.0276031494140625,1.029
0.18119597434997559,-0.03045654296875,-0.0390625,-1.0108184814453125,1.012
0.19161105155944824,-0.0223236083984375,-0.029998779296875,-0.98602294921875,0.987
0.20144391059875488,-0.0073089599609375,0.00103759765625,-0.967132568359375,0.967
0.21144700050354004,-0.020538330078125,0.0008697509765625,-0.96173095703125,0.962
0.2276451587677002,-0.0313568115234375,-0.034210205078125,-0.973358154296875,0.974
0.23187518119812012,-0.0283050537109375,-0.05328369140625,-0.9955291748046875,0.997
0.24185705184936523,-0.0334625244140625,-0.059600830078125,-1.0168914794921875,1.019
0.2507359981536865,-0.0517578125,-0.0560302734375,-1.01416015625,1.017
0.2618410587310791,-0.04266357421875,-0.0417327880859375,-1.009368896484375,1.011
0.2706320285797119,-0.013580322265625,-0.0197906494140625,-0.973846435546875,0.974
0.28086400032043457,-0.01629638671875,-0.015869140625,-0.950408935546875,0.951
0.29074692726135254,-0.008270263671875,-0.0166778564453125,-0.945098876953125,0.945
0.3006918430328369,0.00238037109375,-0.0055084228515625,-0.9315338134765625,0.932
0.31258606910705566,-0.0263214111328125,-0.033966064453125,-0.941314697265625,0.942
0.32765698432922363,-0.0404815673828125,-0.0548858642578125,-0.9604949951171875,0.963
0.33178114891052246,-0.029754638671875,-0.0623626708984375,-0.9828033447265625,0.985
0.34141087532043457,-0.0246124267578125,-0.067962646484375,-0.9644622802734375,0.967
0.3505120277404785,-0.014862060546875,-0.06805419921875,-0.934783935546875,0.937
0.3614990711212158,0.0069732666015625,-0.0474700927734375,-0.876068115234375,0.877
0.3716919422149658,-0.00506591796875,-0.0251922607421875,-0.8230438232421875,0.823
0.3803839683532715,-0.0236968994140625,-0.0183868408203125,-0.8262176513671875,0.827
0.3903200626373291,0.0106048583984375,0.00592041015625,-0.8984527587890625,0.899
0.4008338451385498,0.0246124267578125,0.02362060546875,-1.018585205078125,1.019
0.41068100929260254,-0.0171661376953125,-0.021728515625,-1.00103759765625,1.001
0.42653393745422363,-0.0405426025390625,-0.09295654296875,-1.021484375,1.027
0.4307520389556885,0.0005950927734375,-0.1385650634765625,-1.04791259765625,1.057
0.4410970211029053,0.1283721923828125,-0.09808349609375,-1.037933349609375,1.05
0.4514009952545166,0.0942230224609375,0.0082550048828125,-1.0676422119140625,1.072
0.46109986305236816,0.09619140625,0.0910186767578125,-1.0612335205078125,1.069
0.4700160026550293,0.0585479736328125,0.0947723388671875,-1.0800323486328125,1.086
0.48001885414123535,0.0027008056640625,0.066650390625,-1.07244873046875,1.075
0.4899890422821045,-0.08013916015625,0.0500335693359375,-0.9979248046875,1.002
0.4999401569366455,-0.152008056640625,0.0126190185546875,-0.937255859375,0.95
0.5098998546600342,-0.2074127197265625,-0.0748291015625,-0.90032958984375,0.927
0.5257761478424072,-0.2100830078125,-0.1832427978515625,-0.8936614990234375,0.936
0.5305569171905518,-0.15277099609375,-0.2420196533203125,-0.8846435546875,0.93
0.5406999588012695,-0.0800628662109375,-0.2341766357421875,-0.921234130859375,0.954
0.5498569011688232,-0.014068603515625,-0.1766815185546875,-0.9869842529296875,1.003
0.5602529048919678,0.0208740234375,-0.114715576171875,-1.0523223876953125,1.059
0.5696680545806885,0.044586181640625,-0.0532073974609375,-1.0117340087890625,1.014
0.5796301364898682,0.0451812744140625,-0.037261962890625,-0.9487152099609375,0.951
0.5909249782562256,0.0186004638671875,-0.0635986328125,-0.898529052734375,0.901
0.5995290279388428,0.0614166259765625,-0.049530029296875,-0.988616943359375,0.992
0.6097280979156494,0.1231689453125,0.0152587890625,-1.1633453369140625,1.17
0.6262099742889404,0.0736083984375,0.0385284423828125,-1.057342529296875,1.061
0.6302950382232666,-0.022186279296875,-0.008514404296875,-0.891937255859375,0.892
0.6403748989105225,-0.0634307861328125,-0.053192138671875,-0.839141845703125,0.843
0.6494050025939941,-0.0512847900390625,-0.0518798828125,-0.843780517578125,0.847
0.6603538990020752,-0.004364013671875,-0.0116424560546875,-0.89373779296875,0.894
0.6693651676177979,0.0735626220703125,0.04132080078125,-0.9472503662109375,0.951
